Audience_ID,Segment_Name,List_Size,Demographics,Acquisition_Source
AUD0001,Abandoned Carts,17868,"{'age': 60, 'region': 'Hong Kong', 'gender': 'F'}",Events
AUD0002,Loyal Customers,8434,"{'age': 38, 'region': 'Trinidad and Tobago', 'gender': 'F'}",Partner
AUD0003,Loyal Customers,86819,"{'age': 62, 'region': 'Guinea', 'gender': 'F'}",Referrals
AUD0004,Abandoned Carts,18774,"{'age': 53, 'region': 'Indonesia', 'gender': 'M'}",Partner
AUD0005,Dormant Users,134982,"{'age': 30, 'region': 'Belgium', 'gender': 'F'}",Events
AUD0006,Recent Signups,62591,"{'age': 60, 'region': 'Greenland', 'gender': 'F'}",Referrals
AUD0007,Recent Signups,73201,"{'age': 61, 'region': ""Cote d'Ivoire"", 'gender': 'Other'}",Social Media
AUD0008,Recent Signups,127448,"{'age': 29, 'region': 'Croatia', 'gender': 'Other'}",Social Media
AUD0009,Abandoned Carts,56360,"{'age': 54, 'region': 'Netherlands Antilles', 'gender': 'F'}",Events
AUD0010,Loyal Customers,141556,"{'age': 43, 'region': 'Vietnam', 'gender': 'Other'}",Events
AUD0011,Abandoned Carts,34884,"{'age': 18, 'region': 'Russian Federation', 'gender': 'F'}",Organic
AUD0012,Abandoned Carts,149895,"{'age': 36, 'region': 'Jersey', 'gender': 'M'}",Social Media
AUD0013,Seasonal Buyers,124107,"{'age': 45, 'region': 'Saint Martin', 'gender': 'Other'}",Organic
AUD0014,Loyal Customers,63900,"{'age': 56, 'region': 'Luxembourg', 'gender': 'Other'}",Events
AUD0015,Seasonal Buyers,124187,"{'age': 38, 'region': 'Aruba', 'gender': 'F'}",Partner
AUD0016,High Spenders,106908,"{'age': 46, 'region': 'Barbados', 'gender': 'F'}",Referrals
AUD0017,Loyal Customers,50114,"{'age': 61, 'region': 'Algeria', 'gender': 'M'}",Social Media
AUD0018,Loyal Customers,24926,"{'age': 50, 'region': 'Moldova', 'gender': 'F'}",Referrals
AUD0019,Loyal Customers,25609,"{'age': 65, 'region': 'Cyprus', 'gender': 'M'}",Organic
AUD0020,Recent Signups,113197,"{'age': 60, 'region': 'Latvia', 'gender': 'M'}",Organic
