Campaign_ID,Send_Date,Emails_Sent,Emails_Delivered,Unique_Opens,Open_Rate,Total_Clicks,Unique_Clicks,Click_Rate,CTR,Bounces,Bounce_Rate,Unsubscribes,Unsubscribe_Rate,Spam_Complaints,Spam_Rate,Conversions,Conversion_Rate,Revenue,Revenue_Per_Recipient,Audience_ID,Platform
CAM0204,14-06-2024,13496,13182,4838,36.7,1826,1037,7.87,13.85,314,2.3266,214,1.6234,71,0.5386,330,2.5034,3464.97,0.262856,AUD0136,Sendgrid
CAM0280,19-06-2024,8647,7611,3786,49.74,1413,560,7.36,18.57,1036,11.981,75,0.9854,23,0.3022,201,2.6409,279.68,0.036747,AUD0149,Mailchimp
CAM0282,25-10-2024,113757,94142,14674,15.59,8040,2802,2.98,8.54,19615,17.2429,1655,1.758,595,0.632,346,0.3675,2398.6,0.025479,AUD0053,HubSpot
CAM0111,14-03-2024,25393,22917,4761,20.77,3790,1313,5.73,16.54,2476,9.7507,239,1.0429,262,1.1433,119,0.5193,1738.52,0.075862,AUD0032,HubSpot
CAM0275,26-10-2024,97440,86280,14450,16.75,9298,6947,8.05,10.78,11160,11.4532,1876,2.1743,636,0.7371,3689,4.2756,40843.39,0.473382,AUD0162,Klaviyo
CAM0284,07-11-2024,42561,41956,14787,35.24,4082,3554,8.47,9.73,605,1.4215,1033,2.4621,34,0.081,127,0.3027,404,0.009629,AUD0194,Mailchimp
CAM0203,14-06-2024,83167,69008,30896,44.77,812,404,0.59,1.18,14159,17.0248,794,1.1506,642,0.9303,414,0.5999,5184.16,0.075124,AUD0015,HubSpot
CAM0125,01-06-2024,63834,58838,5188,8.82,5958,3269,5.56,10.13,4996,7.8266,58,0.0986,639,1.086,318,0.5405,1936.76,0.032917,AUD0227,Sendgrid
CAM0199,30-04-2024,66326,63329,27262,43.05,14565,5166,8.16,23,2997,4.5186,231,0.3648,97,0.1532,1394,2.2012,5914.29,0.09339,AUD0152,Salesforce
CAM0280,19-06-2024,17750,14808,3913,26.42,1380,1192,8.05,9.32,2942,16.5746,426,2.8768,102,0.6888,363,2.4514,5116.89,0.345549,AUD0150,Mailchimp
CAM0013,14-02-2024,39818,36914,19228,52.09,6728,2477,6.71,18.23,2904,7.2932,845,2.2891,55,0.149,1042,2.8228,11751.34,0.318344,AUD0120,Sendgrid
CAM0067,01-05-2024,4177,3829,1705,44.53,131,49,1.28,3.42,348,8.3313,74,1.9326,19,0.4962,169,4.4137,3293.79,0.860222,AUD0006,Salesforce
CAM0073,17-06-2024,117782,105244,10748,10.21,7223,2640,2.51,6.86,12538,10.6451,2808,2.6681,756,0.7183,2026,1.9251,3950.27,0.037534,AUD0044,Sendgrid
CAM0109,03-08-2024,37249,36256,13524,37.3,840,294,0.81,2.32,993,2.6658,354,0.9764,523,1.4425,1227,3.3843,18612.32,0.513358,AUD0128,Salesforce
CAM0129,16-08-2024,52705,51635,12166,23.56,6451,3024,5.86,12.49,1070,2.0302,1319,2.5545,526,1.0187,280,0.5423,2235.8,0.0433,AUD0120,Salesforce
CAM0099,07-03-2024,12619,10222,6071,59.39,1509,754,7.38,14.76,2397,18.9952,298,2.9153,9,0.088,304,2.974,5123.66,0.501239,AUD0149,HubSpot
CAM0158,29-06-2024,45142,41084,16401,39.92,7432,2530,6.16,18.09,4058,8.9894,416,1.0126,392,0.9541,1608,3.9139,14931.45,0.363437,AUD0054,Salesforce
CAM0277,20-10-2024,30402,26039,14826,56.94,2826,1198,4.6,10.85,4363,14.351,520,1.997,35,0.1344,150,0.5761,2409.31,0.092527,AUD0123,HubSpot
CAM0255,20-05-2024,10134,8083,1294,16.01,1328,586,7.25,16.43,2051,20.2388,180,2.2269,38,0.4701,168,2.0784,101.02,0.012498,AUD0140,Klaviyo
CAM0257,23-06-2024,40905,35817,17045,47.59,617,526,1.47,1.72,5088,12.4386,473,1.3206,300,0.8376,1140,3.1828,2866.2,0.080023,AUD0159,Sendgrid
CAM0212,09-09-2024,12246,10483,1345,12.83,1066,647,6.17,10.17,1763,14.3965,124,1.1829,46,0.4388,49,0.4674,105.43,0.010057,AUD0227,Klaviyo
CAM0014,24-04-2024,37169,36225,21323,58.86,2877,2149,5.93,7.94,944,2.5398,424,1.1705,78,0.2153,946,2.6115,9569.66,0.264173,AUD0179,HubSpot
CAM0154,11-11-2024,8792,7173,1603,22.35,615,240,3.35,8.57,1619,18.4145,80,1.1153,101,1.4081,268,3.7362,2725.06,0.379905,AUD0021,HubSpot
CAM0065,25-03-2024,81328,66855,9067,13.56,6574,2269,3.39,9.83,14473,17.7958,688,1.0291,624,0.9334,2654,3.9698,18381.77,0.27495,AUD0056,HubSpot
CAM0065,27-01-2024,44374,38719,19678,50.82,5664,2588,6.68,14.63,5655,12.7439,362,0.9349,351,0.9065,1423,3.6752,14003.3,0.361665,AUD0219,HubSpot
CAM0189,29-07-2024,3410,3366,1964,58.35,262,110,3.27,7.78,44,1.2903,50,1.4854,29,0.8616,82,2.4361,642.31,0.190823,AUD0174,Sendgrid
CAM0200,29-07-2024,6937,5955,3362,56.46,425,142,2.38,7.14,982,14.156,34,0.5709,68,1.1419,111,1.864,1629.55,0.273644,AUD0093,Sendgrid
CAM0260,01-12-2024,14239,12448,2881,23.14,2324,881,7.08,18.67,1791,12.5781,298,2.394,77,0.6186,65,0.5222,835.25,0.067099,AUD0134,Mailchimp
CAM0195,09-09-2024,8430,7033,1126,16.01,556,317,4.51,7.91,1397,16.5718,96,1.365,63,0.8958,237,3.3698,2588.08,0.367991,AUD0026,Sendgrid
CAM0185,29-12-2024,91163,79305,7860,9.91,18485,7692,9.7,23.31,11858,13.0075,1940,2.4463,709,0.894,3385,4.2683,8911.7,0.112372,AUD0095,HubSpot
